"Category","Price Close"
"Apr 08 2021",1231.7
"Apr 11 2021",1252.5
"Apr 12 2021",1248.3
"Apr 13 2021",1255.9
"Apr 14 2021",1247.3
"Apr 15 2021",1238.7
"Apr 18 2021",1260.6
"Apr 19 2021",1268.3
"Apr 21 2021",1227.8
"Apr 22 2021",1248.5
"Apr 25 2021",1215.8
"Apr 26 2021",1219.8
"Apr 27 2021",1229.6
"Apr 28 2021",1239.4
"May 03 2021",1242.2
"May 04 2021",1256.4
"May 05 2021",1250.6
"May 06 2021",1241.8
"May 09 2021",1259.6
"May 10 2021",1256
"May 11 2021",1269.1
"May 12 2021",1262
"May 13 2021",1266.4
"May 16 2021",1258.7
"May 17 2021",1252.7
"May 18 2021",1262.5
"May 19 2021",1278.2
"May 20 2021",1283.9
"May 23 2021",1298
"May 24 2021",1308.6
"May 25 2021",1316.7
"May 26 2021",1303.6
"May 27 2021",1320.5
"May 30 2021",1328.1
"May 31 2021",1337.8
"Jun 01 2021",1340.8
"Jun 02 2021",1364.3
"Jun 03 2021",1374.1
"Jun 06 2021",1358.8
"Jun 07 2021",1319.9
"Jun 08 2021",1332.9
"Jun 09 2021",1323.6
"Jun 10 2021",1351.7
"Jun 13 2021",1361.7
"Jun 14 2021",1367.4
"Jun 15 2021",1356.5
"Jun 16 2021",1359.9
"Jun 17 2021",1377.8
"Jun 20 2021",1372.6
"Jun 21 2021",1380
"Jun 22 2021",1376.9
"Jun 23 2021",1379.7
"Jun 24 2021",1390.1
"Jun 27 2021",1405.8
"Jun 28 2021",1410
"Jun 29 2021",1408.6
"Jun 30 2021",1417.1
"Jul 01 2021",1420.3
"Jul 04 2021",1411.1
"Jul 05 2021",1354.8
"Jul 06 2021",1388.6
"Jul 07 2021",1374.7
"Jul 08 2021",1347.1
"Jul 11 2021",1296.3
"Jul 12 2021",1297.5
"Jul 13 2021",1279.9
"Jul 14 2021",1293.9
"Jul 15 2021",1299.3
"Jul 18 2021",1243.5
"Jul 19 2021",1273.3
"Jul 20 2021",1270.8
"Jul 21 2021",1293.7
"Jul 22 2021",1268.8
"Jul 25 2021",1272.7
"Jul 26 2021",1276.9
"Jul 27 2021",1277.1
"Jul 28 2021",1293.6
"Jul 29 2021",1310.1
"Aug 01 2021",1314.2
"Aug 02 2021",1332.4
"Aug 03 2021",1334.7
"Aug 04 2021",1345.6
"Aug 05 2021",1341.5
"Aug 08 2021",1359.9
"Aug 09 2021",1362.4
"Aug 10 2021",1357.8
"Aug 11 2021",1353.1
"Aug 12 2021",1357.1
"Aug 15 2021",1371
"Aug 16 2021",1363.1
"Aug 17 2021",1360.9
"Aug 18 2021",1374.9
"Aug 19 2021",1329.4
"Aug 22 2021",1298.9
"Aug 23 2021",1298.7
"Aug 24 2021",1309.6
"Aug 25 2021",1301.1
"Aug 26 2021",1313.2
"Aug 29 2021",1328.1
"Aug 30 2021",1331.5
"Aug 31 2021",1334.7
"Sep 05 2021",1346.4
"Sep 06 2021",1341.9
"Sep 07 2021",1333.6
"Sep 08 2021",1344
"Sep 09 2021",1345.3
"Sep 12 2021",1341.4
"Sep 13 2021",1339.7
"Sep 14 2021",1345.8
"Sep 15 2021",1345.9
"Sep 16 2021",1352.6
"Sep 19 2021",1350.5
"Sep 20 2021",1339.8
"Sep 21 2021",1350.7
"Sep 22 2021",1352.8
"Sep 23 2021",1351.2
"Sep 26 2021",1325
"Sep 27 2021",1339.3
"Sep 28 2021",1339.2
"Sep 29 2021",1342.1
"Sep 30 2021",1334.9
"Oct 03 2021",1339.5
"Oct 04 2021",1354.6
"Oct 05 2021",1362.8
"Oct 06 2021",1366
"Oct 07 2021",1372.7
"Oct 10 2021",1394.1
"Oct 11 2021",1394.8
"Oct 12 2021",1391.9
"Oct 13 2021",1391.9
"Oct 14 2021",1392.7
"Oct 17 2021",1395.5
"Oct 18 2021",1395.3
"Oct 19 2021",1393.8
"Oct 20 2021",1384.8
"Oct 21 2021",1389.2
"Oct 24 2021",1385.4
"Oct 25 2021",1391.6
"Oct 26 2021",1423
"Oct 27 2021",1438
"Oct 28 2021",1444.3
"Oct 31 2021",1439
"Nov 01 2021",1452.5
"Nov 02 2021",1444.3
"Nov 03 2021",1448.3
"Nov 04 2021",1456.5
"Nov 07 2021",1467.6
"Nov 08 2021",1461.5
"Nov 09 2021",1465
"Nov 10 2021",1462.4
"Nov 11 2021",1473.4
"Nov 14 2021",1476.6
"Nov 15 2021",1466.5
"Nov 16 2021",1475.9
"Nov 17 2021",1469.8
"Nov 18 2021",1452.4
"Nov 21 2021",1447.3
"Nov 22 2021",1463.6
"Nov 23 2021",1488.9
"Nov 24 2021",1500.8
"Nov 25 2021",1493
"Nov 28 2021",1484.8
"Nov 29 2021",1478.4
"Nov 30 2021",1485.2
"Dec 01 2021",1482.1
"Dec 02 2021",1443.3
"Dec 05 2021",1413.6
"Dec 06 2021",1446.8
"Dec 07 2021",1452.9
"Dec 08 2021",1468
"Dec 09 2021",1463.5
"Dec 12 2021",1476.2
"Dec 13 2021",1476
"Dec 14 2021",1475.5
"Dec 15 2021",1476.6
"Dec 16 2021",1479.8
"Dec 19 2021",1477.3
"Dec 20 2021",1478.7
"Dec 21 2021",1477.7
"Dec 22 2021",1457
"Dec 23 2021",1477
"Dec 26 2021",1488.9
"Dec 27 2021",1494.4
"Dec 28 2021",1485.8
"Dec 29 2021",1486
"Dec 30 2021",1498.3
"Jan 03 2022",1525.6
"Jan 04 2022",1522.5
"Jan 05 2022",1528.6
"Jan 06 2022",1528.5
"Jan 09 2022",1503.7
"Jan 10 2022",1492.3
"Jan 11 2022",1510.5
"Jan 12 2022",1496.1
"Jan 13 2022",1496
"Jan 16 2022",1452.8
"Jan 17 2022",1438.9
"Jan 18 2022",1442.8
"Jan 19 2022",1465.3
"Jan 20 2022",1472.9
"Jan 22 2022",1472.9
"Jan 23 2022",1439.7
"Jan 24 2022",1479.6
"Jan 25 2022",1481.6
"Jan 26 2022",1470.8
"Jan 27 2022",1479
"Feb 06 2022",1497.7
"Feb 07 2022",1501
"Feb 08 2022",1505.4
"Feb 09 2022",1506.8
"Feb 10 2022",1501.7
"Feb 13 2022",1472
"Feb 14 2022",1492.8
"Feb 15 2022",1492.1
"Feb 16 2022",1508
"Feb 17 2022",1504.8
"Feb 20 2022",1510.8
"Feb 21 2022",1503.5
"Feb 22 2022",1512.3
"Feb 23 2022",1494.9
"Feb 24 2022",1498.9
"Feb 27 2022",1490.1
"Feb 28 2022",1498.8
"Mar 01 2022",1485.5
"Mar 02 2022",1505
"Mar 03 2022",1505.3
"Mar 06 2022",1499.1
"Mar 07 2022",1473.7
"Mar 08 2022",1473.7
"Mar 09 2022",1479.1
"Mar 10 2022",1466.5
"Mar 13 2022",1446.3
"Mar 14 2022",1452.7
"Mar 15 2022",1459.3
"Mar 16 2022",1461.3
"Mar 17 2022",1469.1
"Mar 20 2022",1495
"Mar 21 2022",1503.8
"Mar 22 2022",1502.3
"Mar 23 2022",1498.3
"Mar 24 2022",1498.5
"Mar 27 2022",1483.2
"Mar 28 2022",1497.8
"Mar 29 2022",1490.5
"Mar 30 2022",1492.2
"Mar 31 2022",1516.4
"Apr 03 2022",1524.7
"Apr 04 2022",1520
"Apr 05 2022",1522.9
"Apr 06 2022",1502.4
"Apr 07 2022",1482
"Apr 11 2022",1455.3
"Apr 12 2022",1477.2
"Apr 13 2022",1472.1
"Apr 14 2022",1458.6
"Apr 17 2022",1432.6
"Apr 18 2022",1406.5
"Apr 19 2022",1384.7
"Apr 20 2022",1370.2
"Apr 21 2022",1379.2
"Apr 24 2022",1310.9
"Apr 25 2022",1341.3
"Apr 26 2022",1353.8
"Apr 27 2022",1351
"Apr 28 2022",1366.8
"May 03 2022",1348.7
"May 04 2022",1360.7
"May 05 2022",1329.3
"May 08 2022",1269.6
"May 09 2022",1293.6
"May 10 2022",1301.5
"May 11 2022",1238.8
"May 12 2022",1182.8
"May 15 2022",1172
"May 16 2022",1228.4
"May 17 2022",1240.8
"May 18 2022",1241.6
